,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
0,UgwWQwS5Eqgde_AA-kB4AaABAg,hallo warga sipil sekalian semoga ini menjelaskan ya ❤,1 month ago,@ferryirwandi,UCC_OYI6VZtuEZuq49Ht-cQQ,4k,387,https://yt3.ggpht.com/8wENFPJwQu662gR6Bhj3qgflntI3msuEkbaVGsKwMBzamuRhKJaYaWQgiMoxURIm0qAg3DpRWw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714478.792333,
1,UgzxME9GhG9xCQmCRFV4AaABAg,Barang aman barang tambung habis d vili sama asing vivo,19 hours ago,@halit-e2k,UCFMd1ttASbEy9JCwarhHRfQ,0,,https://yt3.ggpht.com/ytc/AIdro_m2s7giIp50Sj11wAtuWvTVtCsLGdQ3MZYGHIoIzN3m5j0jU_Ih9WuIE6Ndg51XKUdFJg=s88-c-k-c0x00ffffff-no-rj,False,False,1783238078.81242,
2,UgzPrzfZQ0cfUHxWNWt4AaABAg,orang desa gk pake dolar kok pada bingung 😂,1 day ago,@WawanKarjono,UCGkt2Pzj1cPR9Yx3m2VpvDA,0,,https://yt3.ggpht.com/ytc/AIdro_lS4rTS_NUWN9GQsoRf_gUsflV7YbmKryNGqK5J7xWOIt3AtHQVn0Ahc6cAWoAyQVqJvQ=s88-c-k-c0x00ffffff-no-rj,False,False,1783220078.81767,
3,Ugx7TOG7apNKRVQZIdZ4AaABAg,Hilang kepercayaan investor asing. Itu penyebab utamanya.,3 days ago,@onethrudrive,UC8iE5BVTmt_HNYw2nWVI1bA,0,,https://yt3.ggpht.com/ytc/AIdro_mwo8hJVjPu-CvHtPH68QoP3vaqc_cGI1SVI6CmLtYxVBol3YaOf8DhsIFymX26RZR1tQ=s88-c-k-c0x00ffffff-no-rj,False,False,1783047278.841142,
4,UgzCGZVMxoW6J2Prh-V4AaABAg,"Bang kite kan sipil jadi kalau ada singkatan singkatan tolong di artikan biar ngerti, kalo yang udeh ngerti biar tambah ngerti. Begitu bang.",5 days ago,@JAGBONSAI,UCc1Yk-7jBJi-kK2hOlMS2Uw,0,,https://yt3.ggpht.com/I0xSvSn4HDp4v2zr-uDBIwEHiO2HeVfXGrE7E0KX1D0fED8_x12Znxp3vQR_GzgnfFZtlpi7=s88-c-k-c0x00ffffff-no-rj,False,False,1782874478.852434,
5,UgztwkJkNiwk0KKn53B4AaABAg,Keren bang,7 days ago,@FarhanRamadhan-dd5nz,UCqB_b0LPS3CsUxW359G_E3Q,1,,https://yt3.ggpht.com/ytc/AIdro_laoHJQg-n_An94bJD6j3ILXycSdvBx0YXfxlXWtc1Mr2V3bk0SO228QvSY7VRnLoNjdg=s88-c-k-c0x00ffffff-no-rj,False,False,1782701678.855492,
6,UgzCbKAS3yRNJkDGjWl4AaABAg,"Maka jgn ganggu pegawai BI & KEMENKEU lg sibuk kerja keras utk mengatasix agar cepat terselesaikan...
Tlg tenang jgn terlalu byk bernarasi yg seni2 kinerja kalian itu apa?",8 days ago,@SutrisnoJunydi,UCgEUY5mJiM81hH7ELwUWQsA,0,,https://yt3.ggpht.com/ytc/AIdro_lA7jr0LZvBQFLmBc7jijnVjyoazsJEdCveoYk4bFvSLqy3mJRIVzhAwp7IKIkTOUTl9A=s88-c-k-c0x00ffffff-no-rj,False,False,1782615278.863308,
7,UgzgoaTbSu6QbLNcjHh4AaABAg,"Menurutku seumpama MBG ga ada pun dan belanja negara ga naik, duit asing bakal pada tetep keluar dan rupiah memang pasti akan selalu melemah (untuk saat ini) 🤣",10 days ago,@ahmadsetiyanto911,UCvK33Yw2DAMC4MBHDeO_8DQ,0,,https://yt3.ggpht.com/ytc/AIdro_mJqvBGEA5OEzOZ8Yx7EAy8pZ6YLv3a5UWxRX6ZiLaw7Fs=s88-c-k-c0x00ffffff-no-rj,False,False,1782442478.871479,
8,Ugy1AiixtVbT4c7uJwR4AaABAg,Ini bukan tentang gimana cara membenahi rupiah. ini adalah cara untuk membenahi kepercayaan pasar dan pemikiran masyarakat,12 days ago,@alfachri-ko4up,UCCPFtSwdKZIthrKwBsTil7g,0,,https://yt3.ggpht.com/ytc/AIdro_mwNCQ1t4AILLSFoVjmVGEBkufwQEa_teOITbOhoAJdu53wycHLcV3VsJSYm5tfmdWZPw=s88-c-k-c0x00ffffff-no-rj,False,False,1782269678.879716,
9,Ugy_PWL1Ho8sLelBcah4AaABAg,Biang keladi terbesarnya adalah presiden,2 weeks ago,@TerpaGarsa-b7j,UCGjAW_ZrKHUS6Be5RIzlcjQ,0,,https://yt3.ggpht.com/ytc/AIdro_m-BQ9cHAlq1jZsVv0311NimqUYlE4g7_EsWTQQtm7eQuBVngvypJrk2Wkalb5TxAxiCQ=s88-c-k-c0x00ffffff-no-rj,False,False,1782096878.89097,
